field_1,Node,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,243,0,12.081037999999999,45.017391000000003,,1,0.000000046924133,12.081037999999999,45.017391000000003,12.081037985934541,45.017391044766477
true,247,0,12.097170000000000,45.019413000000000,,1,0.000000014575530,12.097170000000000,45.019413000000000,12.097169999443357,45.019412985435103
true,251,0,12.069065999999999,45.006614999999996,,1,0.000000139578912,12.069065999999999,45.006614999999996,12.069066133315347,45.006614958656421
true,252,0,12.130684000000000,45.018318000000001,,1,0.000000196768537,12.130684000000000,45.018318000000001,12.130683959373169,45.018318192528746
true,253,0,12.084250000000001,44.985695000000000,,1,0.000000443525781,12.084250000000001,44.985695000000000,12.084250382093167,44.985694774789138
true,254,0,12.057200999999999,44.976917000000000,,1,0.000000360809874,12.057200999999999,44.976917000000000,12.057201092330102,44.976917348796384
true,259,0,12.072856000000000,45.013981000000001,,1,0.000000081257039,12.072856000000000,45.013981000000001,12.072856044580021,45.013980932063795
true,261,0,12.084047000000000,44.989071000000003,,1,0.000000286132211,12.084047000000000,44.989071000000003,12.084047278465270,44.989071065793127
true,262,0,12.108703999999999,45.020499999999998,,1,0.000000186951064,12.108703999999999,45.020499999999998,12.108703996654105,45.020500186921119
true,263,0,12.082039999999999,44.982444999999998,,1,0.000011244286099,12.082039999999999,44.982444999999998,12.082033673058946,44.982454295363723
true,264,0,12.079427000000001,44.995907000000003,,1,0.000000279526340,12.079427000000001,44.995907000000003,12.079426815473836,44.995906790035555
true,267,0,12.133141999999999,45.018836999999998,,1,0.000000116610033,12.133141999999999,45.018836999999998,12.133142024076493,45.018836885902573
true,268,0,12.069948999999999,45.010348999999998,,1,0.000000105487723,12.069948999999999,45.010348999999998,12.069949104164531,45.010348983344365
true,269,0,12.082986999999999,44.983550999999999,,1,0.000000161686566,12.082986999999999,44.983550999999999,12.082986860708589,44.983551082100234
true,270,0,12.080831999999999,44.981636000000002,,1,0.000000305793577,12.080831999999999,44.981636000000002,12.080831827935903,44.981636252791731
true,605,0,12.176742000000001,45.026420999999999,,1,0.000000536590110,12.176742000000001,45.026420999999999,12.176741783367280,45.026420509083295
true,607,0,12.172394000000001,45.027175999999997,,1,0.000000132756098,12.172394000000001,45.027175999999997,12.172393977277626,45.027175869202921
true,610,0,12.282415000000000,44.955750000000002,,1,0.000000397309227,12.282415000000000,44.955750000000002,12.282414916673819,44.955749611526883
true,612,0,12.239480000000000,45.005642000000002,,1,0.000000046232306,12.239480000000000,45.005642000000002,12.239479980758032,45.005641957962247
true,615,0,12.140416000000000,45.021388999999999,,1,0.000017483477728,12.140416000000000,45.021388999999999,12.140422013482349,45.021372583239554
true,616,0,12.184155000000001,45.022914999999998,,1,0.000000108442374,12.184155000000001,45.022914999999998,12.184155048730791,45.022915096876510
true,617,0,12.228244000000000,45.008808000000002,,1,0.000000112502252,12.228244000000000,45.008808000000002,12.228244017118557,45.008808111192231
true,619,0,12.143091000000000,45.022350000000003,,1,0.000000222295548,12.143091000000000,45.022350000000003,12.143090923540935,45.022350208732661
true,620,0,12.164274000000001,45.028027000000002,,1,0.000000426225151,12.164274000000001,45.028027000000002,12.164274012405247,45.028026573955415
true,622,0,12.232307000000000,45.008183000000002,,1,0.000000399097506,12.232307000000000,45.008183000000002,12.232306939272561,45.008182605549749
